age,sex,qx,lx,dx,ex
68,Male,0.023803994059562683,70181.171875,1670.5921630859375,15.004804611206055
69,Male,0.025382772088050842,68510.578125,1738.9884033203125,14.35849666595459
70,Male,0.026908043771982193,66771.5859375,1796.6927490234375,13.719426155090332
71,Male,0.028703657910227776,64974.89453125,1865.01708984375,13.084970474243164
72,Male,0.030788198113441467,63109.87890625,1943.0394287109375,12.456879615783691
73,Male,0.033360812813043594,61166.83984375,2040.575439453125,11.83670425415039
74,Male,0.035944003611803055,59126.265625,2125.234619140625,11.227958679199219
75,Male,0.0404965877532959,57001.03125,2308.34716796875,10.627941131591797
76,Male,0.044053275138139725,54692.68359375,2409.391845703125,10.055398941040039
77,Male,0.04880969971418381,52283.29296875,2551.931884765625,9.495744705200195
78,Male,0.05317326635122299,49731.359375,2644.37890625,8.957354545593262
79,Male,0.058908235281705856,47086.98046875,2773.81103515625,8.432315826416016
80,Male,0.06395351141691208,44313.16796875,2833.982666015625,7.928843975067139
81,Male,0.07031086087226868,41479.18359375,2916.43701171875,7.436405658721924
82,Male,0.07695848494768143,38562.74609375,2967.73046875,6.960994243621826
83,Male,0.0848127156496048,35595.015625,3018.909912109375,6.499679088592529
84,Male,0.0944996103644371,32576.10546875,3078.42919921875,6.0556840896606445
85,Male,0.10431919246912003,29497.67578125,3077.173828125,5.6354851722717285
86,Male,0.11642839759588242,26420.501953125,3076.0966796875,5.2336106300354
87,Male,0.12961922585964203,23344.40625,3025.8837890625,4.857359409332275
88,Male,0.1439136415719986,20318.5234375,2924.11279296875,4.50626802444458
89,Male,0.1593168079853058,17394.41015625,2771.221923828125,4.179747581481934
90,Male,0.17581412196159363,14623.1884765625,2570.963134765625,3.877091646194458
91,Male,0.19336862862110138,12052.2255859375,2330.522216796875,3.597487688064575
92,Male,0.2119191735982895,9721.703125,2060.21533203125,3.340029001235962
93,Male,0.23137934505939484,7661.48779296875,1772.7100830078125,3.1037280559539795
94,Male,0.25163766741752625,5888.77783203125,1481.8382568359375,2.887533187866211
95,Male,0.2725590765476227,4406.939453125,1201.1513671875,2.6903438568115234
96,Male,0.29398778080940247,3205.7880859375,942.4625244140625,2.511026620864868
97,Male,0.31575146317481995,2263.32568359375,714.6483764648438,2.3484301567077637
98,Male,0.33766648173332214,1548.67724609375,522.9364013671875,2.201401472091675
99,Male,0.3595440983772278,1025.7408447265625,368.799072265625,2.068798780441284
100,Male,1.0,656.9417724609375,656.9417724609375,1.9495034217834473
